#,Date-Time (UTC Standard Time),Temperature   (°C),Millivolts   (mv),pH   (pH),pH Calibration Values,pH Calibration Buffers,Button Down,Button Up,Host Connected,End of File
1,09/15/2025 16:09:41,,,,Logged,Logged Logged,,,,
2,09/15/2025 16:09:42,24.73,-90.52,8.14,,,,,,
3,09/15/2025 16:10:42,24.73,-89.41,8.13,,,,,,
4,09/15/2025 16:11:42,24.63,-89.32,8.12,,,,,,
5,09/15/2025 16:12:42,24.44,-89.46,8.13,,,,,,
6,09/15/2025 16:13:42,24.19,-89.71,8.13,,,,,,
7,09/15/2025 16:14:42,23.95,-90.00,8.14,,,,,,
8,09/15/2025 16:15:42,23.69,-90.32,8.15,,,,,,
9,09/15/2025 16:16:42,23.45,-90.66,8.15,,,,,,
10,09/15/2025 16:17:42,23.18,-90.99,8.16,,,,,,
11,09/15/2025 16:18:42,22.94,-91.32,8.17,,,,,,
12,09/15/2025 16:19:42,22.70,-91.63,8.17,,,,,,
13,09/15/2025 16:20:42,22.47,-91.94,8.18,,,,,,
14,09/15/2025 16:21:42,22.23,-92.24,8.18,,,,,,
15,09/15/2025 16:22:42,22.01,-93.30,8.20,,,,,,
16,09/15/2025 16:23:42,21.77,-92.82,8.20,,,,,,
17,09/15/2025 16:24:42,21.56,-93.07,8.20,,,,,,
18,09/15/2025 16:25:42,21.34,-93.30,8.21,,,,,,
19,09/15/2025 16:26:42,21.15,-93.52,8.21,,,,,,
20,09/15/2025 16:27:42,20.94,-93.75,8.22,,,,,,
21,09/15/2025 16:28:42,20.75,-93.96,8.22,,,,,,
22,09/15/2025 16:29:42,20.56,-94.17,8.22,,,,,,
23,09/15/2025 16:30:42,20.36,-94.38,8.23,,,,,,
24,09/15/2025 16:31:42,20.17,-94.58,8.23,,,,,,
25,09/15/2025 16:32:42,19.98,-94.78,8.24,,,,,,
26,09/15/2025 16:33:42,19.79,-94.97,8.24,,,,,,
27,09/15/2025 16:34:42,19.63,-95.16,8.25,,,,,,
28,09/15/2025 16:35:42,19.44,-95.35,8.25,,,,,,
29,09/15/2025 16:36:42,19.15,-95.75,8.26,,,,,,
30,09/15/2025 16:36:57,,,,,,Logged,,,
31,09/15/2025 16:36:58,,,,,,,Logged,,
32,09/15/2025 16:37:42,19.08,-96.21,8.27,,,,,,
33,09/15/2025 16:38:42,19.27,-95.58,8.25,,,,,,
34,09/15/2025 16:39:42,19.41,-95.17,8.25,,,,,,
35,09/15/2025 16:40:42,19.70,-95.00,8.24,,,,,,
36,09/15/2025 16:41:42,19.94,-94.75,8.24,,,,,,
37,09/15/2025 16:42:42,20.15,-94.35,8.23,,,,,,
38,09/15/2025 16:43:42,20.34,-94.00,8.22,,,,,,
39,09/15/2025 16:44:42,20.53,-93.71,8.22,,,,,,
40,09/15/2025 16:45:42,20.72,-93.44,8.21,,,,,,
41,09/15/2025 16:46:34,,,,,,Logged,,,
42,09/15/2025 16:46:35,,,,,,,Logged,,
43,09/15/2025 16:46:42,21.10,-93.07,8.20,,,,,,
44,09/15/2025 16:46:43,,,,,,,,Logged,Logged