Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,yellow cone,13.96282902,40.73169021,45.489,Global,0.010,0.010,0.010,0.014,1.886,m,FIX,RTK,2025-09-18 10:49:47.2 UTC+02:00,2025-09-18 10:49:47.2 UTC+02:00,1,1.6,1.9,,,,13.94237578,40.72973158,102.726,1742.358,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
2,,,,,,red cone,13.96268327,40.73172705,45.329,Global,0.007,0.006,0.017,0.009,1.886,m,FIX,RTK,2025-09-18 10:52:20.2 UTC+02:00,2025-09-18 10:52:20.2 UTC+02:00,1,1.6,1.9,,,,13.94237578,40.72973158,102.726,1730.673,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
3,,,,,,blue cone,13.96257638,40.73178455,45.575,Global,0.009,0.006,0.018,0.011,1.886,m,FIX,RTK,2025-09-18 10:53:41.8 UTC+02:00,2025-09-18 10:53:41.8 UTC+02:00,1,2.4,2.9,,,,13.94237578,40.72973158,102.726,1722.547,5_MAC,SC global,7,7,0,0,0,Reach RS+,8243FF606F6D9DB7
4,,,,,,orange cone,13.96242233,40.73180752,48.391,Global,0.010,0.010,0.010,0.014,1.886,m,FIX,RTK,2025-09-18 10:56:01.6 UTC+02:00,2025-09-18 10:56:01.6 UTC+02:00,1,1.4,1.6,,,,13.94237578,40.72973158,102.726,1709.908,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
5,,,,,,blue cone,13.96227315,40.73187547,48.664,Global,0.010,0.010,0.010,0.014,1.886,m,FIX,RTK,2025-09-18 11:03:25.9 UTC+02:00,2025-09-18 11:03:25.9 UTC+02:00,1,1.5,1.7,,,,13.94237578,40.72973158,102.726,1698.460,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
6,,,,,,black and white thingy,13.96227318,40.73175609,47.316,Global,0.010,0.006,0.020,0.012,1.886,m,FIX,RTK,2025-09-18 11:04:53.1 UTC+02:00,2025-09-18 11:04:53.1 UTC+02:00,1,2.6,3.2,,,,13.94237578,40.72973158,102.726,1696.698,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
7,,,,,,yellow cone,13.96211433,40.73180418,47.049,Global,0.008,0.006,0.018,0.010,1.886,m,FIX,RTK,2025-09-18 11:06:12.5 UTC+02:00,2025-09-18 11:06:12.5 UTC+02:00,1,2.5,3.0,,,,13.94237578,40.72973158,102.726,1684.135,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
8,,,,,,orange cone,13.96183729,40.73180097,46.521,Global,0.017,0.013,0.036,0.021,1.886,m,FLOAT,RTK,2025-09-18 11:10:56.0 UTC+02:00,2025-09-18 11:10:56.0 UTC+02:00,1,1.5,1.7,,,,13.94237578,40.72973158,102.726,1660.934,5_MAC,SC global,9,6,0,0,0,Reach RS+,8243FF606F6D9DB7
9,,,,,,yelow cone,13.96173508,40.73184197,46.431,Global,0.008,0.006,0.019,0.010,1.886,m,FIX,RTK,2025-09-18 11:16:18.0 UTC+02:00,2025-09-18 11:16:18.0 UTC+02:00,1,2.5,3.0,,,,13.94237578,40.72973158,102.726,1653.029,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
10,,,,,,blavk and white thingy,13.96164110,40.73181063,46.420,Global,0.008,0.005,0.016,0.009,1.886,m,FIX,RTK,2025-09-18 11:17:33.0 UTC+02:00,2025-09-18 11:17:33.0 UTC+02:00,1,1.6,1.8,,,,13.94237578,40.72973158,102.726,1644.684,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
11,,,,,,red cone,13.96154337,40.73184059,46.549,Global,0.009,0.006,0.019,0.011,1.886,m,FIX,RTK,2025-09-18 11:18:56.0 UTC+02:00,2025-09-18 11:18:56.0 UTC+02:00,1,2.5,2.9,,,,13.94237578,40.72973158,102.726,1636.983,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
12,,,,,,blue cone,13.96145167,40.73182135,46.210,Global,0.008,0.005,0.016,0.009,1.886,m,FIX,RTK,2025-09-18 11:20:13.4 UTC+02:00,2025-09-18 11:20:13.4 UTC+02:00,1,1.5,1.7,,,,13.94237578,40.72973158,102.726,1629.026,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
13,,,,,,yellow cone,13.96132542,40.73186904,45.610,Global,0.009,0.006,0.021,0.011,1.886,m,FIX,RTK,2025-09-18 11:21:17.2 UTC+02:00,2025-09-18 11:21:17.2 UTC+02:00,1,2.6,3.1,,,,13.94237578,40.72973158,102.726,1619.264,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
14,,,,,,red cone,13.96121973,40.73183356,45.822,Global,0.008,0.005,0.016,0.009,1.886,m,FIX,RTK,2025-09-18 11:22:54.5 UTC+02:00,2025-09-18 11:22:54.5 UTC+02:00,1,1.5,1.7,,,,13.94237578,40.72973158,102.726,1609.855,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
15,,,,,,yellow cone roca,13.96106118,40.73185550,45.530,Global,0.010,0.011,0.020,0.016,1.886,m,FIX,RTK,2025-09-18 11:29:10.5 UTC+02:00,2025-09-18 11:29:10.5 UTC+02:00,1,2.0,2.3,,,,13.94237578,40.72973158,102.726,1596.979,5_MAC,SC global,8,7,0,0,0,Reach RS+,8243FF606F6D9DB7
16,,,,,,yellow cone cemento,13.96103381,40.73189631,46.716,Global,0.011,0.007,0.024,0.013,1.886,m,FIX,RTK,2025-09-18 11:30:14.1 UTC+02:00,2025-09-18 11:30:14.1 UTC+02:00,1,2.9,3.5,,,,13.94237578,40.72973158,102.726,1595.330,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
17,,,,,,red in stairs,13.96093445,40.73185455,46.468,Global,0.014,0.010,0.036,0.017,1.886,m,FIX,RTK,2025-09-18 11:31:36.9 UTC+02:00,2025-09-18 11:31:36.9 UTC+02:00,1,4.6,5.6,,,,13.94237578,40.72973158,102.726,1586.351,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
18,,,,,,yellow on roof,13.96082468,40.73182895,48.591,Global,0.010,0.010,0.010,0.014,1.886,m,FIX,RTK,2025-09-18 11:32:15.7 UTC+02:00,2025-09-18 11:32:15.7 UTC+02:00,1,1.4,1.6,,,,13.94237578,40.72973158,102.726,1576.693,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
19,,,,,,yellow on roof,13.96082467,40.73182894,48.596,Global,0.007,0.007,0.015,0.010,1.886,m,FIX,RTK,2025-09-18 11:32:20.1 UTC+02:00,2025-09-18 11:32:20.1 UTC+02:00,1,1.4,1.6,,,,13.94237578,40.72973158,102.726,1576.691,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
20,,,,,,bw restaurant,13.96070901,40.73178066,47.245,Global,0.007,0.006,0.017,0.009,1.886,m,FIX,RTK,2025-09-18 11:34:12.1 UTC+02:00,2025-09-18 11:34:12.1 UTC+02:00,1,1.6,1.9,,,,13.94237578,40.72973158,102.726,1566.292,5_MAC,SC global,9,7,0,0,0,Reach RS+,8243FF606F6D9DB7
21,,,,,,orange restaurant,13.96057656,40.73175950,47.288,Global,0.007,0.006,0.017,0.009,1.886,m,FIX,RTK,2025-09-18 11:35:03.3 UTC+02:00,2025-09-18 11:35:03.3 UTC+02:00,1,1.7,1.9,,,,13.94237578,40.72973158,102.726,1554.886,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
22,,,,,,blue walkway,13.96055118,40.73164846,48.923,Global,0.010,0.007,0.023,0.012,1.886,m,FIX,RTK,2025-09-18 11:35:49.2 UTC+02:00,2025-09-18 11:35:49.2 UTC+02:00,1,2.7,3.2,,,,13.94237578,40.72973158,102.726,1550.972,5_MAC,SC global,8,5,0,0,0,Reach RS+,8243FF606F6D9DB7
23,,,,,,yellow walkway,13.96041566,40.73153345,48.170,Global,0.195,0.122,0.407,0.230,1.886,m,FLOAT,RTK,2025-09-18 11:36:21.0 UTC+02:00,2025-09-18 11:36:21.0 UTC+02:00,1,24.6,32.8,,,,13.94237578,40.72973158,102.726,1537.952,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
24,,,,,,red walkway taxiboat,13.96033670,40.73146662,48.538,Global,0.027,0.024,0.032,0.036,1.886,m,FIX,RTK,2025-09-18 11:37:19.2 UTC+02:00,2025-09-18 11:37:19.2 UTC+02:00,1,1.5,1.7,,,,13.94237578,40.72973158,102.726,1530.378,5_MAC,SC global,9,6,0,0,0,Reach RS+,8243FF606F6D9DB7
25,,,,,,naranjo walkway,13.95997013,40.73116045,47.935,Global,0.011,0.012,0.030,0.016,1.886,m,FIX,RTK,2025-09-18 11:38:19.2 UTC+02:00,2025-09-18 11:38:19.2 UTC+02:00,1,1.7,2.0,,,,13.94237578,40.72973158,102.726,1495.718,5_MAC,SC global,8,6,0,0,0,Reach RS+,8243FF606F6D9DB7
